DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-01 05:45:00,06:28,2025-05-01 06:28:00,43
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-01 05:45:00,06:00,2025-05-01 06:00:00,15
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-01 06:00:00,06:25,2025-05-01 06:25:00,25
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-01 06:00:00,06:22,2025-05-01 06:22:00,22
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-01 06:10:00,06:20,2025-05-01 06:20:00,10
Cagliari,CAG,Edelweiss Air,A320,False,2025-05-01 06:10:00,06:15,2025-05-01 06:15:00,5
Porto,OPO,Swiss,A320,False,2025-05-01 06:20:00,06:55,2025-05-01 06:55:00,35
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-01 06:20:00,06:30,2025-05-01 06:30:00,10
Seville,SVQ,Edelweiss Air,A320,False,2025-05-01 06:20:00,06:35,2025-05-01 06:35:00,15
Heraklion,HER,Edelweiss Air,A320,False,2025-05-01 06:20:00,06:40,2025-05-01 06:40:00,20
Edinburgh,EDI,Swiss,BCS1,False,2025-05-01 06:25:00,06:41,2025-05-01 06:41:00,16
Reykjavik,KEF,Edelweiss Air,A320,False,2025-05-01 06:25:00,06:33,2025-05-01 06:33:00,8
Kos,KGS,Edelweiss Air,A320,False,2025-05-01 06:30:00,06:43,2025-05-01 06:43:00,13
Nottingham,EMA,Helvetic Airways,E190,False,2025-05-01 06:30:00,07:01,2025-05-01 07:01:00,31
Dublin,DUB,Helvetic Airways,E290,False,2025-05-01 06:35:00,06:51,2025-05-01 06:51:00,16
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-05-01 06:35:00,06:48,2025-05-01 06:48:00,13
Marsa Alam,RMF,Chair Airlines,A320,False,2025-05-01 06:40:00,06:53,2025-05-01 06:53:00,13
Hurghada,HRG,Chair Airlines,A319,False,2025-05-01 06:45:00,06:57,2025-05-01 06:57:00,12
Pristina,PRN,Edelweiss Air,A359,False,2025-05-01 06:45:00,06:59,2025-05-01 06:59:00,14
Amsterdam,AMS,NetJets Europe,C68A,False,2025-05-01 06:45:00,07:06,2025-05-01 07:06:00,21
Sofia,SOF,Helvetic Airways,E195,False,2025-05-01 06:50:00,07:17,2025-05-01 07:17:00,27
