DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
Larnaca,LCA,Edelweiss Air,A320,2025-04-28 05:45:00,06:02,2025-04-28 06:02:00,17,5,5.4,88,34,3
Pristina,PRN,Chair Airlines,A319,2025-04-28 05:45:00,06:00,2025-04-28 06:00:00,15,5,5.4,134,26,2
Olbia,OLB,Edelweiss Air,A320,2025-04-28 06:25:00,06:45,2025-04-28 06:45:00,20,5,6.4,121,34,3
Marrakesh,RAK,Edelweiss Air,A320,2025-04-28 06:25:00,06:35,2025-04-28 06:35:00,10,5,6.4,103,34,3
Madrid,MAD,Helvetic Airways,E295,2025-04-28 06:55:00,07:13,2025-04-28 07:13:00,18,5,6.4,97,57,44
Belgrade,BEG,Swiss,BCS3,2025-04-28 06:55:00,07:14,2025-04-28 07:14:00,19,5,6.4,16,88,24
Frankfurt,FRA,Helvetic Airways,E190,2025-04-28 06:55:00,07:06,2025-04-28 07:06:00,11,5,6.4,61,57,41
London,LCY,Swiss,BCS1,2025-04-28 06:55:00,07:34,2025-04-28 07:34:00,39,5,6.4,92,88,23
Palma de Mallorca,PMI,Swiss,A321,2025-04-28 06:50:00,07:11,2025-04-28 07:11:00,21,5,6.4,125,88,4
Brindisi,BDS,Swiss,A320,2025-04-28 06:50:00,07:17,2025-04-28 07:17:00,27,5,6.4,29,88,3
Hurghada,HRG,Chair Airlines,A320,2025-04-28 06:45:00,06:52,2025-04-28 06:52:00,7,5,6.4,74,26,3
Funchal,FNC,Edelweiss Air,A320,2025-04-28 06:45:00,07:00,2025-04-28 07:00:00,15,5,6.4,63,34,3
Pristina,PRN,Edelweiss Air,A359,2025-04-28 06:30:00,06:38,2025-04-28 06:38:00,8,5,6.4,134,34,8
Oberpfaffenhofen,OBF,NetJets Europe,C68A,2025-04-28 06:30:00,06:49,2025-04-28 06:49:00,19,5,6.4,119,73,32
Tenerife,TFS,Edelweiss Air,A320,2025-04-28 06:20:00,06:43,2025-04-28 06:43:00,23,5,6.4,166,34,3
Lisbon,LIS,TAP Air Portugal,A21N,2025-04-28 06:20:00,06:47,2025-04-28 06:47:00,27,5,6.4,90,90,1
Antalya,AYT,Edelweiss Air,A320,2025-04-28 06:10:00,06:20,2025-04-28 06:20:00,10,5,6.4,6,34,3
Gran Canaria,LPA,Edelweiss Air,A320,2025-04-28 06:10:00,06:40,2025-04-28 06:40:00,30,5,6.4,67,34,3
Heraklion,HER,Edelweiss Air,A320,2025-04-28 06:00:00,06:09,2025-04-28 06:09:00,9,5,6.4,72,34,3
Hurghada,HRG,Edelweiss Air,A320,2025-04-28 06:00:00,06:11,2025-04-28 06:11:00,11,5,6.4,74,34,3
Oslo,OSL,NetJets Europe,E55P,2025-04-28 06:30:00,06:42,2025-04-28 06:42:00,12,5,6.4,122,73,48
Bilbao,BIO,Edelweiss Air,A320,2025-04-28 06:45:00,07:02,2025-04-28 07:02:00,17,5,6.4,20,34,3
Geneva,GVA,Swiss,A320,2025-04-28 07:25:00,08:08,2025-04-28 08:08:00,43,5,6.8,65,88,3
Madrid,MAD,Iberia,A20N,2025-04-28 07:30:00,08:04,2025-04-28 08:04:00,34,5,6.8,97,59,0
Nice,NCE,Swiss,BCS1,2025-04-28 07:30:00,07:54,2025-04-28 07:54:00,24,5,6.8,116,88,23
Ponta Delgada,PDL,Edelweiss Air,A320,2025-04-28 07:30:00,07:51,2025-04-28 07:51:00,21,5,6.8,131,34,3
Dresden,DRS,Helvetic Airways,E190,2025-04-28 07:35:00,07:57,2025-04-28 07:57:00,22,5,6.8,51,57,41
Bremen,BRE,Helvetic Airways,E190,2025-04-28 07:40:00,08:01,2025-04-28 08:01:00,21,5,6.8,28,57,41
